epoch,avg_loss,time,avg_true_positives,avg_false_positives,avg_false_negatives
0,0.12340182304382324,214.19624614715576,2.0,0.0,0.0
1,0.10243701934814453,207.85800290107727,2.0,0.0,0.0
2,0.10124650359153747,207.8789620399475,2.0,0.0,0.0
3,0.10123352646827698,209.85678911209106,2.0,0.0,0.0
4,0.1012529742717743,210.08292889595032,2.0,0.0,0.0
5,0.10125541687011719,210.71406722068787,2.0,0.0,0.0
6,0.10125731110572815,211.671302318573,2.0,0.0,0.0
7,0.10127710461616517,207.82096099853516,2.0,0.0,0.0
8,0.10124847173690796,207.85316109657288,2.0,0.0,0.0
9,0.1012730598449707,215.46072602272034,2.0,0.0,0.0
10,0.1012523865699768,213.91562867164612,2.0,0.0,0.0
11,0.10127275824546814,211.68371272087097,2.0,0.0,0.0
12,0.10125661134719849,210.2937889099121,2.0,0.0,0.0
13,0.10124734401702881,207.5010850429535,2.0,0.0,0.0
14,0.10125533580780029,208.71296787261963,2.0,0.0,0.0
15,0.1012422251701355,212.66175198554993,2.0,0.0,0.0
16,0.10123372316360474,210.88262677192688,2.0,0.0,0.0
17,0.10126430630683898,214.69242310523987,2.0,0.0,0.0
18,0.10124167442321777,217.2395157814026,2.0,0.0,0.0
19,0.10125087261199951,210.99810910224915,2.0,0.0,0.0
20,0.10123894214630128,210.62539172172546,2.0,0.0,0.0
21,0.10125434279441833,209.49288296699524,2.0,0.0,0.0
22,0.10126950144767762,207.5894739627838,2.0,0.0,0.0
23,0.10129753947257995,209.44011807441711,2.0,0.0,0.0
24,0.10124561905860902,207.69504809379578,2.0,0.0,0.0
25,0.10124061584472656,211.45995903015137,2.0,0.0,0.0
26,0.10124307513236999,1562.3477997779846,2.0,0.0,0.0
27,0.10123997926712036,1686.3875267505646,2.0,0.0,0.0
28,0.10127132534980773,211.32802891731262,2.0,0.0,0.0
29,0.10127636790275574,212.18881511688232,2.0,0.0,0.0
30,0.10125065803527832,1690.5008199214935,2.0,0.0,0.0
31,0.10124840259552002,231.89832997322083,2.0,0.0,0.0
32,0.10126121401786804,228.31158089637756,2.0,0.0,0.0
33,0.10127494096755982,225.19167494773865,2.0,0.0,0.0
34,0.10125586152076721,227.2216031551361,2.0,0.0,0.0
35,0.10125164031982421,218.1929967403412,2.0,0.0,0.0
36,0.10124135851860046,226.71529126167297,2.0,0.0,0.0
37,0.10125560879707336,217.28984212875366,2.0,0.0,0.0
38,0.10127403378486634,217.68051481246948,2.0,0.0,0.0
39,0.10124136328697204,218.8305847644806,2.0,0.0,0.0
40,0.10124693036079407,219.74499416351318,2.0,0.0,0.0
41,0.10123687982559204,218.81123304367065,2.0,0.0,0.0
42,0.10126105308532715,224.6418809890747,2.0,0.0,0.0
43,0.10124010920524597,222.86181211471558,2.0,0.0,0.0
44,0.1012548840045929,216.6174020767212,2.0,0.0,0.0
45,0.10126278162002564,220.47995495796204,2.0,0.0,0.0
46,0.10124801754951478,223.22308993339539,2.0,0.0,0.0
47,0.10125617861747742,218.63383984565735,2.0,0.0,0.0
48,0.1012563157081604,219.33779788017273,2.0,0.0,0.0
49,0.10126349568367005,220.19457602500916,2.0,0.0,0.0
