Scenario,True_positives,False_positives,False_negatives,Precision,Recall
loop_lenght_1,2,2,2,0.5,0.5
simple_and_split,6,2,0,0.75,1.0
loop_lenght_2,0,4,5,0.0,0.0
long_dependency,2,6,2,0.25,0.5
simple_xor_split,3,2,0,0.6,1.0
simple_sequence,4,0,0,1.0,1.0
