Scenario,True_positives,False_positives,False_negatives,Precision,Recall
simple xor split,3,2,0,0.6,1.0
loop lenght 2,0,4,5,0.0,0.0
simple sequence,4,0,0,1.0,1.0
simple and split,6,0,0,1.0,1.0
long dependency,2,6,2,0.25,0.5
loop lenght 1,2,2,2,0.5,0.5
overleaf example,0,7,8,0.0,0.0
